season,stage,played,win,draw,lose
2017/18,Final,9,7,1,1
2012/13,Round of 32,8,5,0,3
2011/12,Final,19,17,1,1
2010/11,Group stage,6,2,2,2
2009/10,Final,9,3,5,1
2007/08,Round of 32,10,7,2,1
1999/00,Fourth round,8,5,1,2
1998/99,Semi-finals,10,7,0,3
1997/98,Semi-finals,10,5,3,2
1993/94,Second round,4,2,0,2
1990/91,First round,2,1,0,1
1989/90,First round,2,1,1,0
1988/89,First round,2,1,0,1
1986/87,Second round,4,2,0,2
1984/85,First round,2,0,0,2
1983/84,First round,2,1,0,1
1981/82,First round,2,1,0,1
1979/80,First round,2,0,0,2
1974/75,Second round,4,1,2,1
1971/72,First round,2,1,0,1
